Nombre                 País de orígen  Sector          Intención frente a los proyectos  Detalle inversión   Tiene algún proyecto  Expectativa inversión 2021  Inversión real 2021  Inversión real 2020  Inversión real 2019
Suzette Maha           ARGENTINA       Construcción    Inversión                         Socio de proyecto   NO                                      90000000             62088180             18047519              3738158
Jeffrey Wooland        ARGENTINA       Tecnología      Inversión                         Socio capitalista   NO                                       1000000              1160848             32268145             13339687
Jeffie Babbage         ARGENTINA       Inmobiliario    Inversión                         Socio de proyecto   NO                                             0                    0             21224611             62562457
Jephthah Fann          ARGENTINA       Tecnología      Inversión                         Socio capitalista   NO                                             0                    0             85434615             79508333
Cherye Schubbert       ARGENTINA       Tecnología      Inversión                         Socio de proyecto   NO                                      90000000             23888885             68725539             78613526
Avie Sumpner           CHILE           Educación       Capacitación                      Académico           SI                                      10000000             23464528               904543                    0
Berthe Rodway          ARGENTINA       Educación       Capacitación                      Académico           NO                                             0                    0             66204884             27801447
Cameron Drable         CHILE           Tecnología      Inversión                         Socio capitalista   SI                                             0                    0             30987169              7339680
Trixie Gilhouley       ARGENTINA       Agroindustrial  Trabajo                           Buscando trabajo    NO                                      10000000             22390348             24476166                    0
Hector Santoro         ARGENTINA       Tecnología      Inversión                         Socio de proyecto   NO                                      20000000             31670482             15619630             59838390
Jennilee Wren          ARGENTINA       Inmobiliario    Inversión                         Socio capitalista   NO                                      20000000             81056910             96438403             90723423
Leesa Arlidge          ARGENTINA       Tecnología      Inversión                         Socio de proyecto   NO                                             0                    0                    0             52936315
Timi Filliskirk        VENEZUELA       Tecnología      Trabajo                           Buscando trabajo    NO                                      30000000             91413171             13211402                    0
Randee Dibdall         ARGENTINA       Educación       Capacitación                      Académico           NO                                       1000000             87347043             50796112             72757830
De witt Madison        ARGENTINA       Tecnología      Trabajo                           Buscando trabajo    NO                                             0                    0             38721754             77230635
Delbert Bampkin        ARGENTINA       Tecnología      Trabajo                           Buscando trabajo    NO                                      10000000             43538967              5161300             85417673
Phoebe Pady            ARGENTINA       Inmobiliario    Inversión                         Socio capitalista   SI                                       1000000             95899452              2565664             39602953
Katharina Rappa        BRASIL          Inmobiliario    Trabajo                           Buscando trabajo    SI                                       1000000             81347428             10860215             28637290
Salim Button           BRASIL          Tecnología      Inversión                         Socio de proyecto   SI                                      30000000             52442860              2659881             80287314
Bab Oehm               ARGENTINA       Tecnología      Inversión                         Socio capitalista   SI                                      10000000             96199053             31746355             80063468
Abby Athow             URUGUAY         Tecnología      Trabajo                           Buscando trabajo    NO                                       1000000             71783742             64667814             70653180
Guido Abbe             ARGENTINA       Tecnología      Trabajo                           Buscando trabajo    NO                                      90000000             94913746             74083223             31617670
Ginger Boulde          ARGENTINA       Tecnología      Trabajo                           Ofreciendo trabajo  NO                                             0                    0             67753952             77205812
Carita Kirwood         ARGENTINA       Tecnología      Inversión                         Socio de proyecto   SI                                      30000000             33477783                    0             27651635
Aliza Warland          PARAGUAY        Tecnología      Trabajo                           Buscando trabajo    SI                                      50000000              2702447                    0             44671760
Charin Champneys       BRASIL          Tecnología      Inversión                         Socio de proyecto   NO                                      50000000             70787848             33368202             43277527
Wells Shay             ARGENTINA       Tecnología      Capacitación                      Otro tipo           SI                                             0                    0             46563396             63313535
Sherman Johnston       ARGENTINA       Tecnología      Inversión                         Socio de proyecto   NO                                      20000000             40064620             98137438                    0
Charita Baudts         VENEZUELA       Construcción    Inversión                         Socio capitalista   NO                                      30000000             45289360                    0             46980526
Walt Newport           ARGENTINA       Tecnología      Inversión                         Socio capitalista   NO                                      30000000             34397393             72192037             21247716
Chrisse Rodway         ARGENTINA       Tecnología      Inversión                         Socio de proyecto   SI                                             0                    0             69870077             98441580
Tally McMurdo          ARGENTINA       Tecnología      Inversión                         Socio de proyecto   NO                                       1000000             34126405             88265167             56002928
Tybalt McSaul          PERU            Tecnología      Capacitación                      Otro tipo           NO                                       1000000             53008255             46917910             47557281
Wenonah Kik            BOLIVIA         Tecnología      Inversión                         Socio capitalista   NO                                             0                    0                    0             22675260
Aura Brideau           ARGENTINA       Tecnología      Inversión                         Socio capitalista   NO                                     100000000             94688720             86323763             20929788
Kelwin Middas          BRASIL          Inmobiliario    Trabajo                           Buscando trabajo    NO                                             0                    0             96750826             31435769
Lurlene Silverson      ARGENTINA       Tecnología      Trabajo                           Ofreciendo trabajo  NO                                      10000000             89686683             62448793             26812600
Pavel O'Donnelly       BRASIL          Tecnología      Inversión                         Socio de proyecto   NO                                      30000000             32890743                    0             39864620
Tish Ghidelli          ARGENTINA       Agroindustrial  Inversión                         Socio de proyecto   NO                                      10000000             32370896             96066942              3767736
