Nombre,País de orígen,Sector,Intención frente a los proyectos,Detalle inversión,Tiene algún proyecto,Expectativa inversión 2021,Inversión real 2021,Inversión real 2020,Inversión real 2019
Pavel O'Donnelly,BRASIL,Tecnología,Inversión,Socio de proyecto,NO,_($* 30000000.00_),_($* 32890743.00_),_($* 0.00_),_($* 39864620.00_)
Tish Ghidelli,ARGENTINA,Agroindustrial,Inversión,Socio de proyecto,NO,_($* 10000000.00_),_($* 32370896.00_),_($* 96066942.00_),_($* 3767736.00_)
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
